"Commit SHA","Java File","Old function signature","New function signature"
"21f327cc70d010af01d57ddb2ff209bef7f05033","retrofit-adapters/rxjava-mock/src/main/java/retrofit/mock/SingleHelper.java","applySingleBehavior(Behavior, Object)","applySingleBehavior(NetworkBehavior, Object)"
"4c584a5c8718944f3bd1e34bfb4d3014dae08fd7","retrofit/src/main/java/retrofit/MethodHandler.java","createCallAdapter(Method, CallAdapter.Factory)","createCallAdapter(Method, List<CallAdapter.Factory>)"
"4c584a5c8718944f3bd1e34bfb4d3014dae08fd7","retrofit/src/main/java/retrofit/MethodHandler.java","create(Method, OkHttpClient, BaseUrl, CallAdapter.Factory, Converter.Factory)","create(Method, OkHttpClient, BaseUrl, List<CallAdapter.Factory>, List<Converter.Factory>)"
"4c584a5c8718944f3bd1e34bfb4d3014dae08fd7","retrofit/src/main/java/retrofit/MethodHandler.java","createResponseConverter(Method, Type, Converter.Factory)","createResponseConverter(Method, Type, List<Converter.Factory>)"
"4c584a5c8718944f3bd1e34bfb4d3014dae08fd7","retrofit/src/main/java/retrofit/RequestFactoryParser.java","parse(Method, BaseUrl, Converter.Factory)","parse(Method, BaseUrl, List<Converter.Factory>)"
"4c584a5c8718944f3bd1e34bfb4d3014dae08fd7","retrofit/src/main/java/retrofit/RequestFactoryParser.java","parseParameters(Converter.Factory)","parseParameters(List<Converter.Factory>)"
"4c584a5c8718944f3bd1e34bfb4d3014dae08fd7","retrofit/src/main/java/retrofit/Utils.java","methodError(Method, String, Object)","methodError(Throwable, Method, String, Object)"
"cf392789e4d1a4e7b8e450ccd708f4ad128e3c1c","retrofit/src/main/java/retrofit/Platform.java","get(Type)","get()"
"904bf94b7c4cad1bea96fb9e8481ee307e208f65","retrofit/src/main/java/retrofit/RequestFactoryParser.java","parse(Method, Endpoint, Converter.Factory)","parse(Method, BaseUrl, Converter.Factory)"
"904bf94b7c4cad1bea96fb9e8481ee307e208f65","retrofit/src/main/java/retrofit/RequestFactoryParser.java","toRequestFactory(Endpoint)","toRequestFactory(BaseUrl)"
"f15eee44eda9750b9d1341ff0801385426775e1f","retrofit/src/main/java/retrofit/Retrofit.java","invoke(Object, Method, Object[])","invoke(Object, Method, Object)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/gson/src/main/java/retrofit/GsonConverter.java","toBody(Object, Type)","toBody(T)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/gson/src/main/java/retrofit/GsonConverter.java","fromBody(ResponseBody, Type)","fromBody(ResponseBody)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/jackson/src/main/java/retrofit/JacksonConverter.java","toBody(Object, Type)","toBody(T)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/jackson/src/main/java/retrofit/JacksonConverter.java","fromBody(ResponseBody, Type)","fromBody(ResponseBody)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/moshi/src/main/java/retrofit/MoshiConverter.java","toBody(Object, Type)","toBody(T)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/moshi/src/main/java/retrofit/MoshiConverter.java","fromBody(ResponseBody, Type)","fromBody(ResponseBody)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/protobuf/src/main/java/retrofit/ProtoConverter.java","toBody(Object, Type)","toBody(T)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/protobuf/src/main/java/retrofit/ProtoConverter.java","fromBody(ResponseBody, Type)","fromBody(ResponseBody)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/simplexml/src/main/java/retrofit/SimpleXmlConverter.java","toBody(Object, Type)","toBody(T)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/simplexml/src/main/java/retrofit/SimpleXmlConverter.java","fromBody(ResponseBody, Type)","fromBody(ResponseBody)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/wire/src/main/java/retrofit/WireConverter.java","toBody(Object, Type)","toBody(T)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit-converters/wire/src/main/java/retrofit/WireConverter.java","fromBody(ResponseBody, Type)","fromBody(ResponseBody)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit/src/main/java/retrofit/Converter.java","toBody(Object, Type)","toBody(T)"
"fe6d0f9b2a68063a086fa9da80d04293fbe3becf","retrofit/src/main/java/retrofit/Converter.java","fromBody(ResponseBody, Type)","fromBody(ResponseBody)"
"0c515b5b0c0b8cb089b9cd3b9e1cbc3308f7e703","retrofit/src/main/java/retrofit/Response.java","fromError(com.squareup.okhttp.Response, Converter)","fromError(com.squareup.okhttp.Response)"
"2ca195069c02c48d7d862913247e08000e282439","retrofit/src/main/java/retrofit/Callback.java","success(T, Response)","success(Response<T>)"
"2ca195069c02c48d7d862913247e08000e282439","retrofit/src/main/java/retrofit/Callback.java","failure(RetrofitError)","failure(Throwable)"
"2ca195069c02c48d7d862913247e08000e282439","retrofit/src/main/java/retrofit/RestAdapter.java","invoke(Callback)","invoke(Object, Method, Object[])"
"2ca195069c02c48d7d862913247e08000e282439","retrofit/src/main/java/retrofit/Utils.java","readBodyToBytesIfNecessary(Response)","readBodyToBytesIfNecessary(ResponseBody)"
"71d00fb657e8fa5378d1d9b03aa13d2abeba03b0","retrofit/src/main/java/retrofit/RequestBuilder.java","addQueryParamMap(int, Map<?,?>, boolean, boolean)","addQueryParamMap(int, Map<?,?>, boolean)"
"71d00fb657e8fa5378d1d9b03aa13d2abeba03b0","retrofit/src/main/java/retrofit/RequestBuilder.java","addQueryParam(String, String, boolean, boolean)","addQueryParam(String, String, boolean)"
"297a9ee8c88e7640619d4f15dfb305f9c281f320","retrofit-mock/src/main/java/retrofit/MockRestAdapter.java","buildRequest(MethodInfo, RequestInterceptor, Object[])","buildRequest(MethodInfo, Object[])"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit-converters/simplexml/src/main/java/retrofit/converter/SimpleXMLConverter.java","fromBody(TypedInput, Type)","fromBody(ResponseBody, Type)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit-mock/src/main/java/retrofit/MockHttpException.java","toResponse(Converter)","toResponse(Request, Converter)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit-mock/src/main/java/retrofit/MockRestAdapter.java","invokeSync(RestMethodInfo, Object[], Request)","invokeSync(MethodInfo, Object[], Request)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit-mock/src/main/java/retrofit/MockRestAdapter.java","buildRequest(RestMethodInfo, RequestInterceptor, Object[])","buildRequest(MethodInfo, RequestInterceptor, Object[])"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit-mock/src/main/java/retrofit/MockRestAdapter.java","invokeAsync(RestMethodInfo, Object[], Request)","invokeAsync(MethodInfo, Object[], Request)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit-mock/src/main/java/retrofit/MockRestAdapter.java","createMockObservable(MockHandler, RestMethodInfo, Object[], Request)","createMockObservable(MockHandler, MethodInfo, Object[], Request)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RequestBuilder.java","writeTo(OutputStream)","writeTo(BufferedSink)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RestAdapter.java","getMethodInfo(Map<Method,RestMethodInfo>, Method)","getMethodInfo(Map<Method,MethodInfo>, Method)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RestAdapter.java","invokeSync(RestMethodInfo, Request)","invokeSync(MethodInfo, Request)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RestAdapter.java","invokeAsync(RestMethodInfo, Request, Callback)","invokeAsync(MethodInfo, Request, Callback)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RestAdapter.java","createRequest(RestMethodInfo, Object[])","createRequest(MethodInfo, Object[])"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RestAdapter.java","onFailure(IOException)","onFailure(Request, IOException)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RestAdapter.java","invoke(RxSupport.Callback)","invoke(Callback)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RestAdapter.java","setClient(Client)","setClient(OkHttpClient)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RestAdapter.java","invokeRx(RestMethodInfo, Request)","invokeRx(MethodInfo, Request)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RetrofitError.java","httpError(String, Response, Converter, Type)","httpError(Response, Converter, Type)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/RetrofitError.java","networkError(String, IOException)","networkError(Response, IOException)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/converter/Converter.java","fromBody(TypedInput, Type)","fromBody(ResponseBody, Type)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/main/java/retrofit/converter/GsonConverter.java","fromBody(TypedInput, Type)","fromBody(ResponseBody, Type)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/test/java/retrofit/RequestBuilderTest.java","method(String, TypedInput)","method(String, RequestBody)"
"b9fe6f99398843d84cb967cea29a53996019e4ba","retrofit/src/test/java/retrofit/RestAdapterTest.java","observable(String, String)","observable(String)"
"aa9c9a3a408de398c7fb39aac510b71f96782852","retrofit-mock/src/main/java/retrofit/MockRestAdapter.java","invokeSync(RestMethodInfo, RequestInterceptor, Object[])","invokeSync(RestMethodInfo, Object[], Request)"
"aa9c9a3a408de398c7fb39aac510b71f96782852","retrofit-mock/src/main/java/retrofit/MockRestAdapter.java","invokeAsync(RestMethodInfo, RequestInterceptor, Object[])","invokeAsync(RestMethodInfo, Object[], Request)"
"aa9c9a3a408de398c7fb39aac510b71f96782852","retrofit-mock/src/main/java/retrofit/MockRestAdapter.java","createMockObservable(MockHandler, RestMethodInfo, RequestInterceptor, Object[])","createMockObservable(MockHandler, RestMethodInfo, Object[], Request)"
"56f11374c2f5d037e57d274a3c72f9694cd9e05c","retrofit/src/main/java/retrofit/RestAdapter.java","invoke(Object, Method, Object[])","invoke(RxSupport.Callback)"
"56f11374c2f5d037e57d274a3c72f9694cd9e05c","retrofit/src/main/java/retrofit/RestAdapter.java","logAndReplaceResponse(String, Response, long)","logAndReplaceResponse(String, Response)"
"56f11374c2f5d037e57d274a3c72f9694cd9e05c","retrofit/src/main/java/retrofit/RestAdapter.java","logResponseBody(TypedInput, Object)","logResponseBody(Object)"
"56f11374c2f5d037e57d274a3c72f9694cd9e05c","retrofit/src/main/java/retrofit/RxSupport.java","invoke(RequestInterceptor)","invoke(Callback)"
"4c38147577d47227b05c0bdb0e8bfefd0f995dec","retrofit/src/main/java/retrofit/mime/FormUrlEncodedTypedOutput.java","addField(String, String)","addField(String, boolean, String, boolean)"
